Accession,Description,MW_kDa,Area_1,Area_2,Area_3,PSM_1,PSM_2,PSM_3,NormPSM_1,NormPSM_2,NormPSM_3,Mean_Area,Mean_NormPSM,Clean_Name,Category
Asa8G05233.1,[translated] | NR=heat shock protein 70 [Nicotiana benthamiana]; Swissprot=Probable mediator of RNA polymerase II transcription subunit 37e OS=Arabidopsis thaliana GN=MED37E PE=1 SV=3; KEGG=probable mediator of RNA polymerase II transcription subunit 37e; K03283 heat shock 70kDa protein 1/8 (A); IPRSCAN=IPR013126 Heat shock protein 70 family NULL NULL,33.4,6060947.8125,6051521.375,6784262.6875,7.0,6.0,8.0,7.523212627669452,5.961767036450079,7.524925769651508,6298910.625,7.003301811257013,Probable mediator of RNA polymerase II transcription subunit 37e,Vesicle/Transport
Asa8G05174.1,[translated] | NR=PREDICTED: uncharacterized protein LOC103936350 [Pyrus x bretschneideri]; Swissprot=Lachrymatory-factor synthase OS=Allium cepa GN=LFS PE=1 SV=1; IPRSCAN=IPR019587 Polyketide cyclase/dehydrase,51.7,78997306.0136719,86130427.25,141502696.375,36.0,41.0,47.0,38.69080779944289,40.7387414157422,44.20893889670261,102210143.21289062,41.21282937062924,Lachrymatory-factor synthase,Metabolism
Asa8G04956.1,[translated] | GO=Molecular Function: protein binding (GO:0005515); NR=PREDICTED: protein argonaute 1-like isoform X1 [Nelumbo nucifera]; Swissprot=Protein argonaute 11 OS=Oryza sativa subsp. japonica GN=AGO11 PE=2 SV=2; KEGG=protein argonaute 5-like; K11593 eukaryotic translation initiation factor 2C (A); IPRSCAN=NULL NULL NULL NULL IPR003165 Stem cell self-renewal protein Piwi,13.9,10298586.109375,10080636.09375,14300569.5625,19.0,18.0,21.0,20.42014856081708,17.88530110935024,19.75293014533521,11559930.588541666,19.352793271834177,Protein argonaute 11,Protein Synthesis
Asa8G04922.1,[translated] | NR=PREDICTED: ethylene-responsive transcription factor TINY-like [Elaeis guineensis]; Swissprot=Ethylene-responsive transcription factor ERF043 OS=Arabidopsis thaliana GN=ERF043 PE=2 SV=1; KEGG=ethylene-responsive transcription factor TINY-like; K09286 EREBP-like factor (A); IPRSCAN=NULL NULL,30.7,3271337.75,0.0,6847395.75,3.0,4.0,5.0,3.224233983286908,3.974511357633386,4.703078606032192,3372911.1666666665,3.967274648984162,Ethylene-responsive transcription factor ERF043,Vesicle/Transport
Asa8G04886.1,"[translated] | GO=Molecular Function: triglyceride lipase activity (GO:0004806),Biological Process: lipid metabolic process (GO:0006629); NR=PREDICTED: GDSL esterase/lipase At4g10955-like [Elaeis guineensis]; Swissprot=GDSL esterase/lipase At4g10955 OS=Arabidopsis thaliana GN=At4g10955 PE=2 SV=1; IPRSCAN=IPR002921 Lipase, class 3 NULL NULL",25.1,34486736.25,31161302.625,34489192.75,10.0,10.0,10.0,10.74744661095636,9.936278394083466,9.406157212064384,33379077.208333332,10.029960739034737,GDSL esterase/lipase At4g10955,Vesicle/Transport
Asa8G04879.1,"[translated] | GO=Molecular Function: triglyceride lipase activity (GO:0004806),Biological Process: lipid metabolic process (GO:0006629); NR=PREDICTED: GDSL esterase/lipase At4g10955-like [Elaeis guineensis]; Swissprot=GDSL esterase/lipase At4g10955 OS=Arabidopsis thaliana GN=At4g10955 PE=2 SV=1; IPRSCAN=IPR002921 Lipase, class 3 NULL NULL",11.7,6548235.25,8060511.75,7143120.375,10.0,10.0,10.0,10.74744661095636,9.936278394083466,9.406157212064384,7250622.458333333,10.029960739034737,GDSL esterase/lipase At4g10955,Vesicle/Transport
Asa8G04874.1,[translated] | NR=PREDICTED: probable ureidoglycolate hydrolase [Elaeis guineensis]; Swissprot=Ureidoglycolate hydrolase OS=Arabidopsis thaliana GN=UAH PE=1 SV=1; KEGG=probable ureidoglycolate hydrolase; K18151 ureidoglycolate amidohydrolase [EC:3.5.1.116] (A); IPRSCAN=NULL NULL NULL NULL,12.2,8406040.875,5020337.25,5049164.875,12.0,12.0,12.0,12.89693593314763,11.92353407290016,11.28738865447726,6158514.333333333,12.035952886841685,Ureidoglycolate hydrolase,Vesicle/Transport
Asa8G04868.1,"[translated] | GO=Molecular Function: ion channel activity (GO:0005216),Biological Process: ion transport (GO:0006811),Cellular Component: membrane (GO:0016020),Biological Process: transmembrane transport (GO:0055085); NR=PREDICTED: two pore calcium channel protein 1 isoform X3 [Elaeis guineensis]; Swissprot=Two pore calcium channel protein 1B OS=Nicotiana tabacum GN=TPC1B PE=2 SV=1; KEGG=two pore calcium channel protein 1; K16900 two pore calcium channel protein, plant (A); IPRSCAN=NULL NULL NULL NULL IPR005821 Ion transport domain",11.7,31759131.25,25705167.5,31512098.25,6.0,5.0,6.0,6.448467966573816,4.968139197041733,5.643694327238631,29658799.0,5.68676716361806,Two pore calcium channel protein 1B,Vesicle/Transport
Asa8G04810.1,"[translated] | GO=Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553),Cellular Component: cell wall (GO:0005618),Biological Process: carbohydrate metabolic process (GO:0005975),Biological Process: cellular glucan metabolic process (GO:0006073),Molecular Function: xyloglucan:xyloglucosyl transferase activity (GO:0016762),Cellular Component: apoplast (GO:0048046); NR=xyloglucan endotransglycosylase XET1 [Asparagus officinalis]; Swissprot=Probable xyloglucan endotransglucosylase/hydrolase protein 23 OS=Arabidopsis thaliana GN=XTH23 PE=2 SV=1; KEGG=probable xyloglucan endotransglucosylase/hydrolase protein 23; K08235 xyloglucan:xyloglucosyl transferase [EC:2.4.1.207] (A); IPRSCAN=NULL NULL IPR008264 Beta-glucanase IPR008264 Beta-glucanase IPR008264 Beta-glucanase IPR000757 Glycoside hydrolase, family 16 IPR010713 Xyloglucan endo-transglycosylase, C-terminal",29.5,55794763.25,55695318.0625,73896844.25,20.0,22.0,21.0,21.49489322191272,21.85981246698362,19.75293014533521,61795641.854166664,21.035878611410514,Probable xyloglucan endotransglucosylase/hydrolase protein 23,Vesicle/Transport
Asa8G04656.1,[translated],28.9,1855197.0,1326687.25,2303474.0,24.0,22.0,23.0,25.79387186629527,21.85981246698362,21.63416158774808,1828452.75,23.095948640342325,[translated],Other
