Accession,Description,MW_kDa,NormPSM_1,NormPSM_2,NormPSM_3,Mean,SD,SEM,Functional_Category
Q5ILG7,Cysteine protease gp2a OS=Zingiber officinale OX=94328 GN=ZIOFF_026231 PE=2 SV=1,41.9,24.55802146794314,32.195228628230616,0.0,18.91775003205792,16.82238636486682,9.712409296167749,Other
A0A8J5M9B5,40S ribosomal protein S25 OS=Zingiber officinale OX=94328 GN=ZIOFF_002434 PE=3 SV=1,15.4,5.3387003191180735,3.902451954937044,2.8889324960753533,4.0433615900434905,1.230947700210387,0.7106879860748178,Protein Synthesis
A0A8J5M8K1,Small ribosomal subunit protein uS10 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_001441 PE=3 SV=1,13.7,6.406440382941688,5.853677932405567,5.777864992150707,6.0126611024993215,0.3431231437207395,0.1981022393923596,Protein Synthesis
A0A8J5M8E3,Lipoxygenase OS=Zingiber officinale OX=94328 GN=ZIOFF_001226 PE=3 SV=1,89.5,0.0,6.829290921139828,0.0,2.2764303070466094,3.9428929516943465,2.276430307046609,Other
A0A8J5M874,Polyadenylate-binding protein OS=Zingiber officinale OX=94328 GN=ZIOFF_000968 PE=3 SV=1,88.0,10.677400638236147,6.829290921139828,4.814887493458922,7.440526350944965,2.9786694439226116,1.7197356052756327,Other
A0A8J5M6G1,"Alpha-1,4 glucan phosphorylase OS=Zingiber officinale OX=94328 GN=ZIOFF_000195 PE=3 SV=1",96.2,18.15158108500145,11.707355864811134,16.370617477760334,15.409851475857641,3.327809062272548,1.9213114579147317,Other
A0A8J5M6F7,60S ribosomal protein L36 OS=Zingiber officinale OX=94328 GN=ZIOFF_000180 PE=3 SV=1,14.6,6.406440382941688,4.878064943671306,3.851909994767138,5.045471773793377,1.285466903932359,0.7421646630197023,Protein Synthesis
A0A8J5M5Z3,protein-disulfide reductase OS=Zingiber officinale OX=94328 GN=ZIOFF_008484 PE=3 SV=1,64.6,12.812880765883376,7.804903909874088,8.66679748822606,9.761527387994507,2.677458349380331,1.5458312987587453,Antioxidant
A0A8J5M3A0,14-3-3 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_012310 PE=3 SV=1,29.4,9.609660574412533,8.78051689860835,3.851909994767138,7.414029155929341,3.1126177885376007,1.7970707180966015,Other
A0A8J5M299,RuBisCO large subunit-binding protein subunit alpha OS=Zingiber officinale OX=94328 GN=ZIOFF_012018 PE=3 SV=1,64.2,16.01610095735422,10.731742876076872,12.518707482993197,13.088850438808095,2.687918772087303,1.5518706266244526,Other
